id;nome;email;telefone;cpf;data_hora;valor;observacao
17;carlos tavares;2sghf@outlook.com;94 974640839;898.884.644-00;31/05/2024 01:56:20;R$ 14.363,57;revisar|???|duplicado|csv|id|reenviado|auto|falhou
18;Otávio Costa;ahw1fag4oma@ufpa.br;(97) 58003-3370;127.819.643-55;28/11/2024 07:37:39;R$ 68.769,96;duplicado|???|tmp|manual
19;Otávio Silva;@ufpa.br;(98) 94316-7765;553.263.248-13;07/11/2025 17:46:40;R$ 147.005,63;auto|falhou|json
20;Natália Sabrina Nogueira;njh4v3qd@outlook.com;96 927729741;213.655.073-21;09/02/2024 20:54:24;R$ 184.859,98;normalizar|LIMPAR|ticket|URGENTE|***|falhou
21;daniela oliveira;ox64wgv9j@outlook.com;(99) 54177-2736;445.034.479-10;30/11/2025 16:53:54;R$ 111.511,30;erro|duplicado|id|###|ticket|???
22;Patrícia Zuleica Souza;p3hb_o9qii@gmail.com;92 984627252;190.099.528-14;02/08/2022 02:17:18;R$ 173.707,09;normalizar|LIMPAR|auto|obs
23;Otávio Souza;6odgw@gov.br;(96) 921094258;016.426.217-88;03/08/2022 17:01:09;R$ 16.245,25;protocolo|LIMPAR|ok|revisar|???
24;Natália Oliveira;ol4za2fmjn2@bol.com.br;93 940608843;034.638.455-20;09/04/2022 00:48:34;R$ 126.798,30;reenviado|atenção|ok|duplicado|reenviado|obs|tmp|falhou
25;Juliana Mendes;81g6m@empresa.com.br;(94) 993961495;47924974811;20/12/2023 07:43:18;R$ 17.092,92;obs|falhou|???|duplicado|revisar
26;Larissa Monteiro;xci39@bol.com.br;98 969564598;324.224.314-69;16/12/2021 03:51:16;R$ 73.520,95;normalizar|obs|id|csv|erro|auto|falhou
27;Carlos Araújo;5yvkpvg@GMAIL.COM;(95) 56360-4434;498.276.55-18;21/06/2022 06:08:15;R$ 31.270,49;anexo|revisar|anexo|erro|duplicado
28;William Tavares;0kusb@bol.com.br;(94)97393-7002;756.450.984-50;25/01/2022 19:39:44;R$ 37.537,99;duplicado|pendente|pendente
29;Thiago Souza;cjncd@.com.br;92 941886485;039.120.468-18;29/03/2023 20:05:07;R$ 128.416,53;anexo|ok|id|ok|ok|normalizar|ok
30;Rafael Santos;5zfqa3.62v79@bol.com.br;(91) 932243186;999.679.287-95;18/11/2021 08:40:19;R$ 85.148,90;revisar|anexo|URGENTE
31;Sabrina Monteiro;5uoj1@gov.br;(96)92332-5297;826.556.896-57;10/08/2023 10:48:21;R$ 224.365,39;***|erro|protocolo|ticket
32;Daniela Santos;gumeocl@outlook.com;(98) 51340-2865;399.795.244-68;05/03/2023 20:09:33;R$ 164.506,79;ticket|falhou|obs|pendente|ok|normalizar|anexo|duplicado
33;Patrícia Monteiro;x_6.zrrr9.5hgov.br;97 950962768;811.552.579-13;29/03/2022 09:13:40;R$ 52.915,00;json|pendente|json|tmp|manual|id|csv
34;Eduardo Nogueira;2.pv_px8b@loja.com.br;94 951331832;862.912.191-75;22/09/2023 07:53:09;R$ 123.097,58;revisar|json|tmp
35;Bruno Barbosa;padjgc7@ufpa.br;96 936390120;628.965.400-67;17/06/2021 14:09:38;R$ 41.418,38;id|###|URGENTE|manual|revisar|json|anexo
36;Quésia Castro;95bkggbrjb@@bol.com.br;(95)98951-9863;147.343.766-08;02/11/2021 11:20:52;R$ 11.889,28;atenção|atenção|tmp|???|anexo|tmp|reenviado|obs
37;Thiago Zuleica Silva;8a8b23outlook.com;(91) 56875-4312;731.158.559-58;18/02/2021 10:16:44;R$ 230.433,82;id|json|normalizar|anexo|???|URGENTE
38;Gabriel Quésia Tavares;0ivoqv@gmail.com;97 982178139;689.463.525-89;10/11/2022 04:10:13;R$ 128.935,48;revisar|csv|URGENTE
39;Ana Araújo;b6z_2z@bol.com.br;(93) 99290-6556;558.081.280-87;25/01/2022 18:28:32;R$ 239.709,73;LIMPAR|???|reenviado|reenviado
40;Sabrina Oliveira;6eq_2ke@empresa.com.br;94 923551433;876.854.076-68;09/02/2025 05:35:01;R$ 176.689,47;revisar|ok|revisar
41;Carlos Nogueira;g4h39i@loja.com.br;99 23346-5836;432.925.074-32;30/05/2025 07:58:06;R$ 137.084,77;anexo|obs|id|anexo|URGENTE|obs
42;Larissa Castro;h9a51byagov.br;(97) 919394611;054.771.675-28;23/12/2022 19:01:50;R$ 170.814,48;***|protocolo|manual|json|###|anexo|protocolo|***
43;Thiago Fernanda Pereira;(92) 93927-8966;006.992.951-87;12/01/2022 21:16:30;R$ 216.302,06;ok|anexo|tmp|???|auto
44;Helena Carlos Souza;a3.m4samajr8@outlook.com;99 977275112;294.941.335-70;27/01/2023 22:46:33;R$ 140.145,72;csv|???|tmp|***
45;Marcos Ursula Monteiro;l5y0t2svdqsz@gmail.com;94 922992082;691.378.204-12;02/07/2025 09:01:38;R$ 171.971,32;###|URGENTE|tmp|id|revisar
46;Natália Nogueira;a4gqy5@empresa.com.br;99 951062455;996.142.291-4;17/04/2025 13:28:23;R$ 52.651,10;protocolo|???|duplicado|atenção|obs|###|***
47;Bruno Tavares;ctree.sesm@hotmail.com;(97) 94319-4918;016.387.745-15;11/04/2022 12:34:01;R$ 29.715,83;normalizar|falhou|URGENTE
48;Gabriel Otávio Silva;yezy6_ouq@outlook.com;92 74718-4749;338.215.608-6;03/11/2023 14:34:43;R$ 166.209,14;protocolo|atenção|atenção|auto|ok|erro
49;Carlos Pereira;czlhbdj_v0b@ufpa.br;91 995183116;379.390.395-81;26/07/2025 05:24:00;R$ 1.525,29;auto|revisar|duplicado|falhou
50;Ursula Mendes;yqwpkd2.p@gov.br;93 919724225;275.087.273-44;20/05/2024 01:17:06;R$ 190.886,66;auto|atenção|tmp|csv
51;Patrícia Castro;8lfpoupn@outlook.com;(95) 98149-3218;737.288.49-20;01/07/2021 12:01:45;R$ 157.717,23;pendente|json|pendente|normalizar|atenção
52;Gabriel Araújo;91 920288390;249.718.228-3;12/02/2025 08:57:59;R$ 115.223,38;json|anexo|anexo|protocolo|falhou|###|falhou|duplicado
53;Rafael Silva;w.q1lporcvg0@loja.com.br;(92) 910592287;342.548.418-05;05/07/2022 10:02:50;R$ 2.661,91;pendente|LIMPAR|falhou|csv|revisar
54;Gabriel Pereira;g0i2z@empresa.com.br;95 96398-6741;927.130.712-4;14/08/2024 07:55:25;R$ 125.059,91;ok|obs|csv|auto|erro|json
55;Eduardo Souza;58en5z1@ufpa.br;(98) 91894-7920;993.202.498-96;03/11/2025 05:54:39;R$ 54.524,16;json|atenção|auto|id
56;bbi2ink7@bol.com.br;91 923381919;512.618.301-94;08/10/2023 03:39:55;R$ 126.003,78;tmp|tmp|manual|pendente|json
57;Quésia Monteiro;h75d..d6t@gmail.com;(91) 935428032;149.539.834-36;R$ 129.208,50;json|erro|csv|normalizar|auto
58;Zuleica Araújo;sqp8@hotmail.com;(94) 972775099;715.191.932-18;02/03/2021 01:42:46;R$ 190.704,38;anexo|atenção|reenviado|falhou|tmp|reenviado|auto
59;Helena Ana Oliveira;z_7vdy_bdgks@gov.br;(91) 95098-4235;956.964.860-76;07/08/2024 00:43:44;R$ 205.153,53;duplicado|###|duplicado|LIMPAR|json|csv|auto|tmp
60;daniela eduardo lima;ymbylv.jc@bol.com.br;99 981165560;06402899749;09/07/2025 20:39:18;R$ 84.278,71;manual|tmp|erro|revisar|falhou
61;Sabrina Almeida;pzjm5u@outlook.com;(92) 94497-5166;412.297.358-81;29/06/2021 13:42:08;R$ 54.711,76;***|atenção|LIMPAR|pendente
62;Rafael Vinícius Mendes;tisntb@empresa.com.br;(93) 981815205;762.525.832-51;26/04/2023 17:48:41;R$ 123.620,91;anexo|tmp|duplicado
63;Otávio Helena Mendes;(94)99379-6772;342.173.732-97;08/11/2025 00:37:44;R$ 201.598,08;revisar|auto|duplicado|ticket|pendente|falhou
64;Natália Costa;@loja.com.br;(99) 922451541;364.128.642-20;R$ 78.509,26;revisar|LIMPAR|URGENTE
65;Yasmin Lima;998ws5ehiiy0@.com.br;99 977888104;070.463.005-38;28/08/2023 21:15:21;R$ 2.067,38;id|URGENTE|URGENTE|obs
66;Quésia Daniela Barbosa;p.wmrr@ufpa.br;(95) 983088961;747.552.716-01;07/04/2021 03:56:15;R$ 148.613,20;manual|URGENTE|falhou|id
67;Ana Helena Castro;ra2u34x@gmail.com;95 36822-6798;618.986.377-76;13/02/2024 01:11:49;R$ 202.251,54;ticket|LIMPAR|***|auto
68;Thiago Otávio Mendes;iqcmwhurk@gov.br;95 963471100;477.508.461-49;02/08/2024 15:20:36;R$ 242.602,20;anexo|revisar|normalizar|revisar|normalizar
69;Daniela Tavares;97 84643-9994;292.029.045-67;12/04/2022 10:09:26;R$ 119.997,53;###|normalizar|revisar|manual|revisar
70;kleber pereira;eiq3d@gov.br;96 981283690;138.021.392-74;20/08/2023 13:26:49;R$ 167.335,90;???|ok|revisar
71;Bruno Castro;sltshqli@outlook.com;98 935875367;004.390.770-37;28/02/2021 01:46:46;R$ 39.745,82;normalizar|protocolo|obs|tmp|***|normalizar
72;Eduardo Cardoso;v5_tt@outlook.com;520.443.058-93;16/08/2025 19:09:38;R$ 55.800,96;ticket|ok|protocolo|auto|***|id
73;Carlos Yasmin Barbosa;6zmzco@bol.com.br;96 968707342;465.862.788-98;03/05/2024 14:21:53;R$ 244.213,61;???|reenviado|csv
74;Fernanda Cardoso;skflk@ufpa.br;94 950526650;261.754.755-46;04/11/2023 10:38:46;R$ 72.042,10;reenviado|id|atenção|tmp
75;Kleber Monteiro;5tnp.w@outlook.com;91 81467-5507;173.233.117-41;29/02/2024 20:06:43;R$ 188.740,62;id|id|ticket|id
76;Vinícius Souza;of1ga05l..2@outlook.com;(97) 51209-7673;786.572.76-16;26/08/2023 13:00:29;R$ 13.276,55;csv|###|anexo|ok
77;Juliana Tavares;4ex03n0m@.com.br;92 996580714;856.208.325-44;30/05/2023 22:55:24;R$ 161.014,31;LIMPAR|protocolo|URGENTE|erro|json
78;Juliana Castro;sjvc9@ufpa.br;(93) 979780620;606.929.540-84;17/01/2025 11:16:24;R$ 129.397,33;revisar|csv|LIMPAR|json|erro
79;Carlos Almeida;5x_ezvqv@gov.br;99 17248-1204;558.387.281-13;17/10/2025 17:43:41;R$ 51.615,77;LIMPAR|URGENTE|***|normalizar|json|falhou|id
80;Helena Lima;f8cz74at2h@outlook.com;(96) 94094-2253;491.788.885-46;13/01/2022 16:20:05;R$ 8.221,03;ok|reenviado|LIMPAR|###|ticket|???|normalizar
81;Kleber Igor Almeida;mu2enl3rf8@loja.com.br;91 925345446;172.276.894-24;08/07/2023 04:51:20;anexo|falhou|ticket
82;William Tavares;4susu31jufpa.br;(96) 959188694;291.598.903-6;05/05/2024 15:23:55;R$ 140.605,94;LIMPAR|manual|protocolo|json
83;Juliana Oliveira;jbrsey@bol.com.br;96 959064016;643.381.560-63;03/04/2022 22:45:33;R$ 127.008,40;json|LIMPAR|atenção|atenção|ticket|atenção|csv|id
84;yasmin araújo;r75adpiei7@gmail.com;97 915282458;993.567.212-4;04/02/2021 23:49:24;R$ 76.434,23;falhou|revisar|atenção|atenção|manual|manual|atenção|normalizar
85;Gabriel William Barbosa;n1hanht3_3op@gmail.com;95 933622882;688.869.579-74;12/01/2025 01:44:30;R$ 114.716,55;atenção|duplicado|erro|falhou|erro|protocolo|obs|tmp
86;Eduardo Almeida;clobd_6ufpa.br;(96) 96570-9457;95278117346;15/03/2022 21:51:24;R$ 111.295,71;LIMPAR|revisar|LIMPAR|tmp
87;Igor Tavares;fa73k@empresa.com.br;(97) 942808930;879.897.72-67;29/04/2024 17:03:26;R$ 131.531,67;normalizar|erro|***|###|normalizar|atenção
88;Bruno Castro;1of.c3r@bol.com.br;94 936229139;370.155.593-42;23/09/2025 08:57:26;R$ 60.743,21;anexo|auto|anexo
89;Rafael William Souza;@hotmail.com;(92) 93599-7567;748.246.231-48;14/01/2024 10:21:26;ok|LIMPAR|erro|pendente|***
90;Gabriel Ana Oliveira;zinb@loja.com.br;(94) 94916-8353;198.138.838-11;19/10/2024 14:11:52;R$ 206.034,79;csv|protocolo|id|anexo|revisar|json|reenviado
91;Helena Pereira;92dvj@empresa.com.br;(99) 947516008;913.069.402-96;30/10/2025 09:08:42;R$ 112.385,85;csv|duplicado|LIMPAR|anexo
92;Thiago Castro;t2rfohp5@gmail.com;(98) 926290739;159.458.188-18;01/08/2025 21:15:01;R$ 218.684,99;protocolo|duplicado|normalizar|reenviado|LIMPAR|csv
93;William Patrícia Oliveira;w95j82@ufpa.br;(98) 92415-7741;322.045.676-73;10/08/2022 04:42:54;R$ 229.078,37;pendente|pendente|tmp|reenviado|pendente|???|***
94;thiago quésia lima;4c2s7loja.com.br;92 932120494;818.807.585-79;15/06/2025 10:42:32;R$ 46.266,75;duplicado|erro|anexo|URGENTE|URGENTE|normalizar
95;Natália Eduardo Costa;lygv2s0@empresa.com.br;96 961407651;06472998050;05/05/2021 18:16:44;R$ 15.365,81;???|pendente|anexo|***|json
96;Natália Lima;49s7.u4@empresa.com.br;(91) 929546584;348.292.472-15;13/12/2025 12:37:25;R$ 165.905,35;duplicado|revisar|manual|ticket|ticket|tmp|id
97;Sabrina Patrícia Cardoso;bzeb25fxbfrgov.br;(93) 97697-4166;252.908.47-90;21/10/2022 04:15:50;R$ 157.241,41;ok|manual|manual|anexo|anexo|obs|id
98;Yasmin Natália Lima;fe._4dhha7@loja.com.br;91 996971887;339.903.315-25;06/02/2024 19:44:06;R$ 221.004,46;anexo|normalizar|revisar
99;Daniela Tavares;l38k4@.com.br;(98)95344-4391;800.750.771-30;18/03/2021 13:23:03;R$ 66.282,86;ok|manual|ticket|LIMPAR|LIMPAR
100;Fernanda William Souza;7xspcedztn@UFPA.BR;(92) 57233-4224;620.959.059-02;06/11/2024 23:10:24;R$ 59.570,58;ticket|normalizar|???|duplicado|protocolo|atenção|csv|normalizar
101;Marcos Tavares;a1_5@gov.br;(92) 910038785;160.237.578-73;11/08/2025 04:45:12;R$ 1.650,11;duplicado|falhou|revisar
102;Eduardo Tavares;ti.41q8s@gmail.com;92 979381023;962.263.797-16;19/06/2023 20:47:24;R$ 50.126,45;manual|csv|csv|anexo
103;Daniela Ana Santos;i_h6sfn49@hotmail.com;95 935132478;761.624.296-54;13/01/2022 19:49:20;R$ 102.038,45;###|LIMPAR|duplicado|normalizar|anexo|reenviado
104;Fernanda Lima;58_zaecbnsu7@outlook.com;99 966325459;801.510.608-32;11/04/2022 08:53:08;R$ 200.219,50;protocolo|***|ticket|manual|???
105;f3v3kzufpa.br;(98) 989326408;853.082.482-27;28/12/2021 09:29:49;R$ 147.312,40;json|json|obs
106;Fernanda Tavares;bqbw0sz@loja.com.br;97 916139386;141.811.234-95;21/05/2024 11:21:47;R$ 38.511,74;json|URGENTE|tmp|normalizar|revisar|atenção
107;Igor Oliveira;7eghn@.com.br;(95) 95987-6715;545.315.054-39;25/02/2021 18:03:25;R$ 11.982,18;###|normalizar|reenviado|anexo|id|***|???
108;Zuleica Lima;6edwat4@gmail.com;91 915454986;499.157.915-77;06/05/2021 08:16:20;R$ 13.743,06;erro|protocolo|erro|URGENTE
109;Bruno Carlos Souza;qxz7a@gmail.com;(95) 58515-9789;02/06/2025 09:53:09;R$ 77.636,12;???|falhou|revisar|reenviado|***
110;Ana Tavares;7v3dq4kfiv@outlook.com;96 957010707;011.213.944-73;23/12/2025 03:08:23;R$ 139.867,10;LIMPAR|atenção|###|protocolo
111;Kleber Marcos Lima;bs9_4@gov.br;(96)97877-4287;035.177.973-76;09/08/2023 17:41:59;R$ 79.301,67;ticket|revisar|LIMPAR|protocolo|tmp|falhou
112;Quésia Souza;61on90xoec@gov.br;95 981971716;297.523.848-88;27/12/2023 13:11:09;R$ 197.866,90;protocolo|normalizar|ok|duplicado|obs
113;Otávio Tavares;jjtrwvj.s5@gov.br;(96)91553-3942;901.445.28-31;23/03/2021 01:57:44;R$ 30.727,13;tmp|URGENTE|atenção|***|json
114;Gabriel Lima;74eylhw6z@gmail.com;95 42486-3310;406.589.860-01;26/12/2025 18:01:32;R$ 37.055,22;normalizar|ok|obs
115;Fernanda Barbosa;u7hbk8g4@bol.com.br;94 953184533;058.536.047-57;22/10/2025 12:28:44;R$ 206.542,17;***|auto|revisar
116;Carlos Mendes;77epok@bol.com.br;93 974162241;487.387.277-67;07/03/2025 13:23:46;R$ 83.216,70;json|atenção|protocolo|ok
117;Natália Igor Oliveira;o4a4k09l@.com.br;(94) 94533-3531;47191233074;03/09/2022 15:01:56;R$ 210.499,20;erro|URGENTE|auto|normalizar|***|***
118;Ana Monteiro;3bwxx2ay@.com.br;(95) 998284616;510.259.947-1;30/05/2021 07:47:23;R$ 69.906,83;falhou|erro|???
119;Otávio Tavares;@ufpa.br;96 63491-1227;801.779.842-55;16/09/2025 06:12:44;R$ 78.373,13;falhou|csv|tmp|erro|ok|erro|protocolo|LIMPAR
120;Gabriel Mendes;fygbzq36l@bol.com.br;(92) 91950-7515;916.046.768-06;28/03/2024 22:25:04;R$ 165.970,46;pendente|###|reenviado|reenviado|atenção|protocolo
121;Ana Lima;flrnxbx@outlook.com;(92)93005-9501;080.784.305-79;05/02/2025 07:04:17;R$ 121.368,79;reenviado|duplicado|URGENTE|tmp|id|reenviado|normalizar|reenviado
122;Eduardo Costa;5.8mht_s6ew@ufpa.br;(98) 96932-8015;147.419.939-44;12/01/2025 00:33:38;R$ 168.047,36;protocolo|###|###|tmp|ok|csv
123;Larissa Pereira;hj6jlo@bol.com.br;91 990210131;749.099.530-91;08/09/2024 09:31:37;R$ 217.450,24;pendente|csv|obs
124;Igor Cardoso;dsblj91@ufpa.br;(95)93017-8511;927.554.802-4;01/01/2022 19:02:29;R$ 172.629,54;###|duplicado|erro|URGENTE|ticket|###|ticket
125;Thiago Cardoso;@empresa.com.br;92 26131-2381;575.479.804-9;13/05/2023 18:48:46;R$ 127.805,39;erro|auto|***|id
126;Sabrina Castro;gp3t.gu@@ufpa.br;(99) 986755216;679.140.904-45;25/07/2025 15:05:47;R$ 90.669,24;anexo|revisar|id|manual
127;Fernanda Tavares;50yole5zz@bol.com.br;98 91852-4835;912.462.887-56;16/03/2025 17:17:13;R$ 49.173,80;normalizar|###|normalizar|erro|normalizar
128;Sabrina Lima;j12v@empresa.com.br;(99) 987742531;267.511.304-11;R$ 106.377,41;LIMPAR|revisar|json|revisar|tmp|revisar|atenção|***
129;Natália Pereira;7fcaq3ja@bol.com.br;(97) 97661-3080;106.151.85-66;03/10/2023 07:55:20;R$ 173.119,93;ticket|falhou|protocolo|URGENTE
130;William Nogueira;1v1_vgov.br;(98) 937286191;542.161.753-80;24/11/2024 05:59:28;R$ 224.177,38;tmp|ok|json|atenção|auto|pendente|pendente
131;Kleber Pereira;@loja.com.br;(96) 97421-1910;847.209.016-32;05/02/2024 11:46:24;R$ 106.812,03;ok|anexo|manual|ok|auto|manual|URGENTE
132;Helena Mendes;9q8l4yne2@outlook.com;(93) 95196-8653;117.048.078-44;25/10/2021 19:07:32;R$ 221.718,32;???|obs|reenviado|LIMPAR|erro
133;Juliana Silva;@empresa.com.br;(93) 97530-5217;194.870.30-45;21/12/2025 07:26:10;R$ 147.796,47;erro|LIMPAR|atenção|LIMPAR|protocolo|normalizar|auto
134;Rafael Daniela Tavares;@hotmail.com;139.795.744-94;12/10/2025 17:19:34;R$ 143.539,65;revisar|duplicado|atenção|anexo|URGENTE|csv
135;Ana Juliana Araújo;9klcw4@empresa.com.br;94 934393044;275.277.595-47;05/11/2025 04:59:55;R$ 225.607,20;obs|manual|json
136;Thiago Sabrina Nogueira;vux7uwpvj3@gov.br;(96) 94288-7283;662.467.180-78;13/04/2024 07:09:43;R$ 17.782,45;ticket|manual|reenviado|protocolo
137;Otávio Araújo;kdiq@bol.com.br;(99) 59687-7184;22/07/2024 19:02:19;R$ 187.626,43;URGENTE|id|anexo|###|falhou
138;daniela rafael costa;8ir..xxuc5@gov.br;93 991494680;712.099.294-18;01/01/2024 22:06:23;R$ 97.567,80;ok|reenviado|manual|ok|anexo|ticket|manual
139;Thiago Oliveira;188v0j@bol.com.br;(94) 989935973;708.961.783-88;24/04/2025 03:06:49;R$ 155.891,04;csv|revisar|pendente|falhou|obs|anexo|json|obs
140;Juliana Lima;523byfj17w@ufpa.br;(93) 51181-1403;943.920.88-37;11/01/2021 14:46:43;R$ 70.587,31;json|auto|duplicado|tmp
141;Marcos Vinícius Pereira;itdzjay2mc7@loja.com.br;(92) 965079005;686.994.887-23;02/02/2021 10:54:04;R$ 3.754,11;id|atenção|auto|***|erro
142;Carlos Araújo;zyay@hotmail.com;91 912756477;564.438.600-15;25/10/2024 21:32:46;R$ 21.373,72;id|???|obs|atenção
143;Larissa Patrícia Castro;ta3rlntx@outlook.com;(91) 53413-5981;337.904.780-04;03/12/2024 14:50:53;R$ 28.131,93;id|ok|duplicado|normalizar
144;otávio nogueira;nyx41l@outlook.com;96 991591042;529.065.084-99;25/12/2022 04:10:43;R$ 143.160,20;csv|reenviado|falhou|reenviado|falhou|manual
145;Kleber Monteiro;t_ud25845z@outlook.com;93 926780919;843.703.483-23;20/09/2025 20:52:08;R$ 15.045,81;obs|atenção|LIMPAR|revisar
146;Ursula Otávio Lima;lolq6hpc6pxz@ufpa.br;98 984272068;068.427.971-56;09/04/2021 12:38:15;R$ 138.870,94;duplicado|erro|atenção|revisar|manual|ticket|id|LIMPAR
147;William Pereira;uug93m79@bol.com.br;96 938551319;235.128.193-70;R$ 101.543,64;???|tmp|anexo|csv|###|manual|manual|id
148;Daniela William Barbosa;ce2xstjl8@hotmail.com;92 927684371;23408259369;12/09/2023 22:11:34;R$ 115.941,41;anexo|protocolo|tmp|normalizar|ok|manual|id
149;Patrícia Carlos Tavares;hlew@bol.com.br;92 921210338;003.143.137-74;10/08/2023 20:57:52;R$ 215.212,59;tmp|reenviado|###|manual|protocolo
150;Daniela Eduardo Monteiro;yjkcx8vgh@UFPA.BR;98 25567-6357;456.355.177-8;06/05/2024 11:01:12;R$ 7.209,31;###|id|URGENTE
151;Juliana Mendes;123s2oggq.rx@hotmail.com;(94)98230-2247;548.724.366-93;22/03/2021 22:06:38;R$ 205.326,00;tmp|ok|LIMPAR|pendente|pendente|duplicado|ticket|auto
152;Ursula Tavares;yj6wojl3vp@empresa.com.br;(95) 995380412;918.710.859-13;10/11/2022 11:17:31;R$ 148.361,58;###|obs|json|LIMPAR|URGENTE|LIMPAR
153;Daniela Barbosa;gd7vjbol.com.br;(99) 935631934;989.917.243-42;17/05/2021 07:26:50;R$ 77.925,68;id|ticket|ticket|reenviado|duplicado|duplicado|###
154;Sabrina Araújo;ca43b1@loja.com.br;99 973222629;300.238.715-39;28/08/2023 01:54:38;R$ 123.084,72;obs|reenviado|revisar
155;Larissa Castro;35x.0km@gov.br;(98) 97458-8682;223.328.908-34;30/04/2022 19:36:07;R$ 10.856,23;csv|normalizar|erro|tmp|???|falhou
156;Patrícia Carlos Almeida;axuf.hs3ph@hotmail.com;(98) 915585412;944.723.106-86;01/05/2021 03:21:51;R$ 135.107,97;falhou|protocolo|auto|erro|pendente|tmp|***
157;Otávio Sabrina Cardoso;40tmzm@empresa.com.br;(99) 953518224;68356404988;28/08/2022 20:10:54;R$ 146.156,38;???|pendente|normalizar|csv|normalizar|reenviado
158;Fernanda Almeida;8y5tyyp3@bol.com.br;92 87458-4596;734.250.288-1;27/11/2025 21:05:43;R$ 247.448,40;protocolo|URGENTE|tmp|csv
159;Bruno Larissa Barbosa;cfqov@gmail.com;(92) 93257-7861;307.608.359-41;22/11/2022 17:56:34;R$ 66.784,18;LIMPAR|auto|falhou
160;Rafael Barbosa;6hhsoeche@loja.com.br;95 71833-4497;499.884.851-08;03/07/2023 04:23:46;R$ 226.656,40;normalizar|pendente|duplicado|LIMPAR|id|id|protocolo|LIMPAR
161;Zuleica Santos;qw5dkmx@gmail.com;(96) 94136-4804;62505720925;13/06/2022 01:44:09;R$ 24.266,48;csv|LIMPAR|erro
162;Bruno Fernanda Barbosa;mhpb@hotmail.com;93 921940071;691.179.379-75;16/03/2022 07:30:17;R$ 202.021,05;csv|###|URGENTE|falhou|obs|falhou|revisar|json
163;Otávio William Monteiro;ulihg95.n@bol.com.br;(92) 58660-2769;302.685.335-09;29/05/2023 07:18:37;R$ 118.351,43;atenção|revisar|???
164;Helena Cardoso;q4yl3h45@outlook.com;(92) 910312005;583.219.575-72;R$ 213.228,80;tmp|pendente|###|auto|normalizar
165;Natália Costa;8mifvhepc@gmail.com;98 937571417;829.012.870-94;02/02/2021 12:13:30;R$ 145.042,98;normalizar|manual|pendente
